name,affiliation,latitude,longitude
masked,Carnegie Mellon University,40.443336,-79.944023
masked,Carnegie Mellon University,40.443336,-79.944023
masked,Carnegie Mellon University,40.443336,-79.944023
masked,Arcadia University,40.153951,-75.151566
masked,"University of California, Berkeley",37.87196,-122.259094
masked,Carnegie Science Center,40.445646,-80.01825
masked,Case Western Reserve University,41.504163,-81.60845
masked,Chapman University,33.793382,-117.85169
masked,Clemson University,34.68112,-82.83737
masked,Center for Open Science,38.033554,-78.50798
masked,"California State University, Sacramento",38.55711,-121.74558
masked,"California State University, Sacramento",38.55711,-121.74558
masked,DePaul University,41.924784,-87.656655
masked,DePaul University,41.924784,-87.656655
masked,Eastern Kentucky University,37.735321,-84.298672
masked,Elon University,36.10639,-79.50083
masked,University of North Carolina at Chapel Hill,35.904912,-79.046913
masked,Florida State University,30.4419,-84.2986
masked,St Paul's University Kenya,-1.14841,36.66686
masked,University of Ibadan,7.3912,3.9167
masked,Ontario Library Association,43.653226,-79.383184
masked,Hofstra University,40.71472,-73.60056
masked,University of Maryland Baltimore HSHSL,39,-76.61667
masked,Humboldt State University,40.8757,-124.07784
masked,Institute for Advanced Study,40.325667,-74.66733
masked,Johns Hopkins University,39.328888,-76.620277
masked,Johns Hopkins University,39.328888,-76.620277
masked,University of Rochester,43.12861,-77.62833
masked,"University of California, Los Angeles",34.071613,-118.442184
masked,"University of California, Los Angeles",34.071613,-118.442184
masked,Macalester College,44.9378933,-93.169135
masked,West Virginia University,39.6295,-79.9559
masked,West Virginia University,39.6295,-79.9559
masked,Ministerio de Educacion del Peru,-12.08513,-77.00091
masked,MD Anderson Cancer Center,29.708,-95.3975
masked,Colorado School of Mines,39.75111,-105.2225
masked,Northern Illinois University,41.93389,-88.77778
masked,Northern Illinois University,41.93389,-88.77778
masked,Ohio State University,40.0141905,-83.0309143
masked,University of Pittsburgh,40.4446,-79.9533
masked,University of Pittsburgh,40.4446,-79.9533
masked,University of Pittsburgh,40.4446,-79.9533
masked,University of Pittsburgh,40.4446,-79.9533
masked,Princeton University,40.348731,-74.659167
masked,Princeton University,40.348731,-74.659167
masked,Princeton University,40.348731,-74.659167
masked,Pennsylvania State University,40.798214,-77.859909
masked,Pennsylvania State University,40.798214,-77.859909
masked,Rothbart Information Solutions,38.9527,-77.3412
masked,Rowan University,39.710917,-75.118439
masked,South Dakota State University,44.321,-96.78
masked,Texas A&M University,30.61037,-96.343
masked,Texas A&M University,30.61037,-96.343
masked,Temple University,39.9812,-75.1554
masked,Trinity University (Texas),29.4638,-98.4826
masked,Tufts University,42.4057,-71.1159
masked,Tulane University,29.94,-90.12
masked,University of Alabama at Birmingham,33.5009,-86.8047
masked,University of Alabama at Birmingham,33.5009,-86.8047
masked,University of Alberta,53.52133,-113.52133
masked,University of California Irvine,33.64556,-117.8425
masked,University of California Irvine,33.64556,-117.8425
masked,University of California Irvine,33.64556,-117.8425
masked,University of California San Diego,32.87924,-117.23112
masked,University of California San Francisco,37.77684,-122.39082
masked,University of California San Francisco,37.77684,-122.39082
masked,University of California San Francisco,37.77684,-122.39082
masked,University of Florida,29.643946,-82.355659
masked,University of Georgia,33.948006,-83.377319
masked,UL Research Institutes,42.04544,-87.68793
masked,University of Massachusetts Amherst,42.391155,-72.526711
masked,University of Massachusetts Amherst,42.391155,-72.526711
masked,University of Maryland Baltimore County,39.2549,-76.7081
masked,University of Maryland College Park,38.9857,-76.9423
masked,University of Maryland College Park,38.9857,-76.9423
masked,University of Maryland College Park,38.9857,-76.9423
masked,University of North Carolina Wilmington,34.22583,-77.87333
masked,USDA Eastern Regional Research Center,40.05921,-75.16622
masked,University of North Georgia,34.53062,-83.98347
masked,University of Algiers 2,36.77572,3.00389
masked,University of New Orleans,30.0275,-90.0671
masked,University of Pennsylvania,39.9539,-75.193
masked,University of Tennessee Chattanooga,35.04418,-85.2868
masked,University of Tennessee Knoxville,35.951,-83.9295
masked,University of Tennessee Knoxville,35.951,-83.9295
masked,University of Tennessee Knoxville,35.951,-83.9295
masked,University of Washington Seattle,47.6554,-122.3049
masked,University of Washington Seattle,47.6554,-122.3049
masked,Virginia Tech,37.225,-80.425
masked,Virginia Tech,37.225,-80.425
masked,Virginia Tech,37.225,-80.425
